15120 cells | 32 cores | library-based (no RL) | out=results/
[3600/15120] rho1_mu0.3_eta16_kap1_artic_seed6: INV=0 conv=1 best=burn_then_protect dJ=+1.9  (477s, inv so far 8)
[3650/15120] rho1_mu0.4_eta1_kap1_sbm_seed3: INV=0 conv=0 best=burn_then_protect dJ=+35.4  (484s, inv so far 8)
[3700/15120] rho1_mu0.4_eta2_kap0.5_sbm_seed1: INV=0 conv=0 best=burn_then_protect dJ=+4.8  (491s, inv so far 8)
[3750/15120] rho1_mu0.4_eta5_kap0.25_bridge_seed1: INV=0 conv=0 best=burn_then_protect dJ=+7.7  (498s, inv so far 8)
[3800/15120] rho1_mu0.4_eta5_kap1_bridge_seed1: INV=0 conv=0 best=delay8 dJ=+29.9  (505s, inv so far 8)
[3850/15120] rho1_mu0.4_eta8_kap0.5_bridge_seed5: INV=0 conv=0 best=burn_then_protect dJ=+24.6  (512s, inv so far 8)
[3900/15120] rho1_mu0.4_eta16_kap0.25_bridge_seed5: INV=0 conv=0 best=protect_only dJ=+34.7  (519s, inv so far 8)
[3950/15120] rho1_mu0.4_eta16_kap1_bridge_seed2: INV=0 conv=0 best=delay8 dJ=+93.0  (526s, inv so far 8)
[4000/15120] rho1_mu0.5_eta1_kap0.5_bridge_seed7: INV=0 conv=0 best=burn_then_protect dJ=+9.7  (533s, inv so far 8)
[4050/15120] rho1_mu0.5_eta2_kap0.25_artic_seed5: INV=0 conv=1 best=burn_then_protect dJ=-23.1  (540s, inv so far 8)
[4100/15120] rho1_mu0.5_eta2_kap1_artic_seed3: INV=0 conv=1 best=burn_then_protect dJ=-16.4  (548s, inv so far 8)
[4150/15120] rho1_mu0.5_eta5_kap0.5_artic_seed1: INV=0 conv=1 best=burn_then_protect dJ=-20.2  (555s, inv so far 8)
[4200/15120] rho1_mu0.5_eta8_kap0.5_sbm_seed5: INV=0 conv=0 best=protect_only dJ=+26.2  (562s, inv so far 8)
[4250/15120] rho1_mu0.5_eta8_kap1_artic_seed6: INV=0 conv=1 best=burn_then_protect dJ=-0.7  (569s, inv so far 8)
[4300/15120] rho1_mu0.5_eta16_kap1_bridge_seed0: INV=0 conv=0 best=delay8 dJ=+82.7  (576s, inv so far 8)
[4350/15120] rho2_mu0.05_eta1_kap0.25_artic_seed0: INV=0 conv=1 best=burn_then_protect dJ=-13.7  (582s, inv so far 8)
[4400/15120] rho2_mu0.05_eta2_kap0.25_sbm_seed6: INV=0 conv=1 best=burn_then_protect dJ=-6.1  (588s, inv so far 8)
[4450/15120] rho2_mu0.05_eta2_kap1_bridge_seed4: INV=0 conv=0 best=delay8 dJ=+16.0  (594s, inv so far 8)
[4500/15120] rho2_mu0.05_eta5_kap0.5_bridge_seed5: INV=0 conv=0 best=delay8 dJ=+31.8  (600s, inv so far 8)
[4550/15120] rho2_mu0.05_eta8_kap0.5_sbm_seed1: INV=0 conv=0 best=delay8 dJ=+7.2  (606s, inv so far 8)
[4600/15120] rho2_mu0.05_eta8_kap1_bridge_seed6: INV=0 conv=0 best=delay8 dJ=+47.0  (612s, inv so far 8)
[4650/15120] rho2_mu0.05_eta16_kap0.5_bridge_seed2: INV=0 conv=0 best=protect_only dJ=+119.5  (618s, inv so far 8)
[4700/15120] rho2_mu0.1_eta1_kap0.25_artic_seed2: INV=0 conv=1 best=burn_then_protect dJ=-9.3  (625s, inv so far 8)
[4750/15120] rho2_mu0.1_eta1_kap1_artic_seed7: INV=0 conv=1 best=burn_then_protect dJ=-1.3  (631s, inv so far 8)
[4800/15120] rho2_mu0.1_eta2_kap1_sbm_seed1: INV=0 conv=0 best=delay8 dJ=+21.8  (638s, inv so far 8)
[4850/15120] rho2_mu0.1_eta5_kap0.5_sbm_seed2: INV=0 conv=0 best=burn_then_protect dJ=+15.9  (644s, inv so far 8)
[4900/15120] rho2_mu0.1_eta8_kap0.25_sbm_seed3: INV=0 conv=0 best=protect_only dJ=+9.0  (650s, inv so far 8)
[4950/15120] rho2_mu0.1_eta8_kap1_sbm_seed5: INV=0 conv=0 best=delay8 dJ=+34.5  (657s, inv so far 8)
[5000/15120] rho2_mu0.1_eta16_kap0.5_sbm_seed6: INV=0 conv=0 best=protect_until_threat dJ=+67.8  (663s, inv so far 8)
[5050/15120] rho2_mu0.2_eta1_kap0.25_sbm_seed2: INV=0 conv=1 best=burn_then_protect dJ=+1.1  (669s, inv so far 8)
[5100/15120] rho2_mu0.2_eta1_kap1_bridge_seed5: INV=0 conv=0 best=delay8 dJ=+22.7  (676s, inv so far 8)
[5150/15120] rho2_mu0.2_eta2_kap0.5_bridge_seed2: INV=0 conv=0 best=burn_then_protect dJ=+33.2  (683s, inv so far 8)
[5200/15120] rho2_mu0.2_eta5_kap0.25_sbm_seed7: INV=0 conv=1 best=protect_only dJ=-5.2  (690s, inv so far 8)
