cid,rho,mu,eta,kappa,topo,seed,optJ,naiJ,dJ,ci_hi,converged,bestlib,bestlib_tag,P,X,T,het_driven,inversion
rho0.5_mu0.05_eta16_kap1_bridge_seed4,0.5,0.05,16,1.0,bridge,4,48.5,33.775,14.725,0.8658924437717331,False,delay8,T,1,0,1,0,0
rho0.5_mu0.05_eta16_kap1_bridge_seed5,0.5,0.05,16,1.0,bridge,5,57.68333333333333,31.491666666666667,26.191666666666666,1.3485696338145077,False,delay8,T,1,0,1,0,0
rho0.5_mu0.05_eta16_kap1_bridge_seed6,0.5,0.05,16,1.0,bridge,6,63.96666666666667,39.425,24.541666666666668,1.1006659660396132,False,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap1_bridge_seed7,0.5,0.05,16,1.0,bridge,7,68.79166666666667,31.966666666666665,36.825,1.780229800816056,False,delay8,T,1,0,1,0,0
rho0.5_mu0.05_eta16_kap1_sbm_seed0,0.5,0.05,16,1.0,sbm,0,12.666666666666666,16.825,-4.158333333333333,0.037049697304513775,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap1_sbm_seed1,0.5,0.05,16,1.0,sbm,1,28.941666666666666,27.4,1.5416666666666667,0.438871093187383,False,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap1_sbm_seed2,0.5,0.05,16,1.0,sbm,2,35.24166666666667,31.65,3.591666666666667,0.4763698292319207,False,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap1_sbm_seed3,0.5,0.05,16,1.0,sbm,3,41.458333333333336,33.4,8.058333333333334,0.6627075928235951,False,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap1_sbm_seed4,0.5,0.05,16,1.0,sbm,4,29.941666666666666,33.69166666666667,-3.75,0.05388060117641226,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap1_sbm_seed5,0.5,0.05,16,1.0,sbm,5,13.575,24.975,-11.4,-0.26217087309205206,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap1_sbm_seed6,0.5,0.05,16,1.0,sbm,6,51.083333333333336,44.11666666666667,6.966666666666667,0.5070788142681173,False,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap1_sbm_seed7,0.5,0.05,16,1.0,sbm,7,12.341666666666667,22.925,-10.583333333333334,-0.3150265855672595,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.25_artic_seed0,0.5,0.05,1,0.25,artic,0,10.333333333333334,44.858333333333334,-34.525,-0.7197678472144797,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.25_artic_seed1,0.5,0.05,1,0.25,artic,1,12.408333333333333,54.483333333333334,-42.075,-0.7226845937472197,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.25_artic_seed2,0.5,0.05,1,0.25,artic,2,11.391666666666667,41.45,-30.058333333333334,-0.6480119994358261,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.25_artic_seed3,0.5,0.05,1,0.25,artic,3,11.275,56.641666666666666,-45.36666666666667,-0.758535815367444,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.25_artic_seed4,0.5,0.05,1,0.25,artic,4,10.75,38.46666666666667,-27.716666666666665,-0.642557164151038,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.25_artic_seed5,0.5,0.05,1,0.25,artic,5,9.658333333333333,39.916666666666664,-30.258333333333333,-0.7268488652477897,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.25_artic_seed6,0.5,0.05,1,0.25,artic,6,13.5,47.1,-33.6,-0.6762360684249218,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.25_artic_seed7,0.5,0.05,1,0.25,artic,7,9.733333333333333,34.71666666666667,-24.983333333333334,-0.6546748178380372,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.25_bridge_seed0,0.5,0.05,1,0.25,bridge,0,23.583333333333332,38.641666666666666,-15.058333333333334,-0.2518779425198511,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.25_bridge_seed1,0.5,0.05,1,0.25,bridge,1,20.766666666666666,31.791666666666668,-11.025,-0.20950714830729691,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.25_bridge_seed2,0.5,0.05,1,0.25,bridge,2,22.716666666666665,33.09166666666667,-10.375,-0.13971728375674197,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.25_bridge_seed3,0.5,0.05,1,0.25,bridge,3,19.325,35.416666666666664,-16.091666666666665,-0.3387426041798994,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.25_bridge_seed4,0.5,0.05,1,0.25,bridge,4,14.733333333333333,29.333333333333332,-14.6,-0.38520949247447445,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.25_bridge_seed5,0.5,0.05,1,0.25,bridge,5,16.241666666666667,28.216666666666665,-11.975,-0.2913338880610094,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.25_bridge_seed6,0.5,0.05,1,0.25,bridge,6,17.616666666666667,39.05833333333333,-21.441666666666666,-0.4989234733011683,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.25_bridge_seed7,0.5,0.05,1,0.25,bridge,7,18.291666666666668,35.38333333333333,-17.091666666666665,-0.4263943240861126,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.25_sbm_seed0,0.5,0.05,1,0.25,sbm,0,3.941666666666667,9.45,-5.508333333333334,-0.4578470084163098,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.25_sbm_seed1,0.5,0.05,1,0.25,sbm,1,7.891666666666667,13.575,-5.683333333333334,-0.3135706718959792,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.25_sbm_seed2,0.5,0.05,1,0.25,sbm,2,10.091666666666667,21.566666666666666,-11.475,-0.44044643101232944,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.25_sbm_seed3,0.5,0.05,1,0.25,sbm,3,11.433333333333334,23.616666666666667,-12.183333333333334,-0.44756917434734356,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.25_sbm_seed4,0.5,0.05,1,0.25,sbm,4,8.866666666666667,20.341666666666665,-11.475,-0.4893109399893787,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta1_kap0.25_sbm_seed5,0.5,0.05,1,0.25,sbm,5,6.025,19.275,-13.25,-0.6185830515391556,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta1_kap0.25_sbm_seed6,0.5,0.05,1,0.25,sbm,6,13.333333333333334,29.508333333333333,-16.175,-0.4732724840780483,True,burn_then_protect,P,1,1,1,0,0
